GEO_DISTRICT,GEO_REGION,Uninsurance_Rate_pct,High_Uninsurance,Ecological_Zone,OOF_proba_RF,OOF_pred_RF,OOF_proba_HGB,OOF_pred_HGB,OOF_proba_LASSO,OOF_pred_LASSO,Full_proba_RF,Full_proba_HGB,Full_proba_LASSO,Full_proba_Ensemble,Full_pred_Ensemble
BONGO,UPPER EAST,17.024675558914723,0,Northern Belt,0.035,0,0.0020358358151286574,0,0.23914548036921252,0,0.0,0.0005892110018888788,0.19896684072414222,0.0002946055009444394,0
TANO SOUTH MUNICIPAL,AHAFO,20.452011173826577,0,Middle Belt,0.23,0,0.023917758223108956,0,0.3847318148564415,0,0.08,0.017538082146954594,0.3660536194662123,0.0487690410734773,0
KASENA NANKANA WEST,UPPER EAST,13.600044084421668,0,Northern Belt,0.0,0,0.0004950048958083062,0,0.25842089081087377,0,0.0,0.0004576705587204539,0.23067978807279102,0.00022883527936022694,0
WA WEST,UPPER WEST,30.873479996287013,1,Northern Belt,0.315,0,0.47455428175601727,0,0.5720741851435184,1,0.73,0.9797421072591117,0.7092046789519513,0.8548710536295558,1
SUNYANI MUNICIPAL,BONO,11.18055734910509,0,Middle Belt,0.04,0,0.0016801883461806007,0,0.22271624263731354,0,0.005,0.005286130991905245,0.15412385412513238,0.005143065495952622,0
SAWLA-TUNA-KALBA,SAVANNAH,42.84598452034368,1,Northern Belt,0.81,1,0.992190152338341,1,0.6776866876201355,1,0.91,0.9938624091178375,0.6573886994444025,0.9519312045589188,1
ASANTE AKIM SOUTH,ASHANTI,32.611843116320074,1,Middle Belt,0.33,0,0.163397711944357,0,0.3205866556146671,0,0.875,0.9112564542059279,0.3948184752137063,0.8931282271029639,1
SISSALA EAST,UPPER WEST,16.52960220295464,0,Northern Belt,0.14,0,0.04886540797692718,0,0.3963083438510718,0,0.055,0.008059709404682827,0.37251129892139506,0.03152985470234142,0
ADA EAST,GREATER ACCRA,42.9074347934198,1,Southern Belt,0.585,1,0.990170234211163,1,0.8427516307971944,1,0.87,0.9805777311375287,0.8867577655681086,0.9252888655687643,1
SHAI OSUDOKU,GREATER ACCRA,28.738755799640188,0,Southern Belt,0.975,1,0.9909978702610853,1,0.8392476968773299,1,0.4,0.07953567669910272,0.8397427907170347,0.23976783834955137,0
KASENA NANKANA EAST,UPPER EAST,12.46208518944892,0,Northern Belt,0.09,0,0.0013393374523640676,0,0.175455692978096,0,0.01,0.00262496409673019,0.10761086944671733,0.006312482048365095,0
ADA WEST,GREATER ACCRA,59.261108993652,1,Southern Belt,0.865,1,0.9979276590721516,1,0.9214838599544606,1,0.93,0.9993244785786362,0.9555277180707624,0.964662239289318,1
BUNKPURUGU NAKPANDURI,NORTHERN EAST,10.712031462419889,0,Northern Belt,0.28,0,0.04019405614755788,0,0.30970140792390327,0,0.08,0.00988074460415942,0.21147080563668594,0.044940372302079715,0
GARU,UPPER EAST,19.93618859196924,0,Northern Belt,0.11,0,0.020440337081685557,0,0.2571388910574528,0,0.02,0.008783539189980821,0.30636895825779203,0.01439176959499041,0
NINGO/PRAMPRAM,GREATER ACCRA,45.17156635218129,1,Southern Belt,0.98,1,0.9951883602607247,1,0.8402970652242975,1,0.97,0.9683078438361238,0.8484865196006194,0.9691539219180618,1
EAST MAMPRUSI,NORTHERN EAST,16.822867355297173,0,Northern Belt,0.815,1,0.6278551170259106,1,0.4633022559337852,0,0.405,0.06577212726463098,0.44625920460748947,0.2353860636323155,0
LA DADE-KOTOPON,GREATER ACCRA,37.06724462442252,1,Southern Belt,1.0,1,0.9964055649268827,1,0.7444827137338444,1,1.0,0.9960345372330158,0.8021298384415352,0.9980172686165079,1
BAWKU WEST,UPPER EAST,12.632031569675911,0,Northern Belt,0.07,0,0.014046973365055553,0,0.3592251439886943,0,0.03,0.008783539189980821,0.3149737775101207,0.01939176959499041,0
AOWIN,WESTERN NORTH,33.74982177296502,1,Southern Belt,0.35,0,0.8929389857028881,1,0.7848412666593833,1,0.83,0.959773743567049,0.8483420935740804,0.8948868717835246,1
DORMAA EAST,BONO,13.639376132196352,0,Middle Belt,0.04,0,0.04290050059184174,0,0.31581065338829495,0,0.025,0.01845726807002978,0.2910418981959035,0.02172863403501489,0
